2026-04-27T12:10:28.832Z | user | fireflies | reordered-to-5 | [wt-2026-04-24-004] Check Merge1 Vet ID with Davis | priority=5
2026-04-27T12:14:55.822Z | user | whatsapp | reordered-to-2 | [mog6gyrdc3g7] Fix the Autonomy Engine | priority=2
2026-04-27T12:14:59.627Z | user | whatsapp | reordered-to-2 | [mog6gyrdc3g7] Fix the Autonomy Engine | priority=2
2026-04-27T12:15:01.341Z | user | whatsapp | reordered-to-3 | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-27T12:15:11.449Z | user | brain | done | [moe0lp2trllk] Learn grouping: "Add Justus+Mayuri to Merge1 mtgs" + 4 more | priority=1
2026-04-27T12:15:48.109Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-27T13:01:35.026Z | user | fireflies | moved-to-gmail | [wt-2026-04-24-006] Schedule Mayuri stakeholder meetings | priority=3
2026-04-27T13:01:35.027Z | user | gmail | moved-from-fireflies | [moh7hprnfofa] Schedule Mayuri stakeholder meetings | priority=1
2026-04-27T13:01:40.122Z | user | gmail | done | [moh7hprnfofa] Schedule Mayuri stakeholder meetings | priority=1
2026-04-27T17:17:02.346Z | user | fireflies | moved-to-gmail | [wt-2026-04-24-003] Share tax audit template | priority=1
2026-04-27T17:17:02.353Z | user | gmail | moved-from-fireflies | [mohgm8eo5h4l] Share tax audit template | priority=1
2026-04-27T17:17:17.866Z | user | fireflies | done | [wt-2026-04-24-007] Confirm Mon forecast mtg w/ Tim+Torsten | priority=4
2026-04-27T17:17:27.459Z | user | gmail | promoted-scrap | [mohgm8eo5h4l] Share tax audit template | priority=1
2026-04-27T17:17:27.460Z | user | brain | promoted-from-gmail | [mohgmrs31l7a] Share tax audit template | priority=1
2026-04-27T17:17:34.707Z | user | brain | moved-to-whatsapp | [mohgmrs31l7a] Share tax audit template | priority=1
2026-04-27T17:17:34.708Z | user | whatsapp | moved-from-brain | [mohgmxdg11tw] Share tax audit template | priority=3
2026-04-27T17:17:38.464Z | user | whatsapp | moved-to-slack | [mohgmxdg11tw] Share tax audit template | priority=3
2026-04-27T17:17:38.465Z | user | slack | moved-from-whatsapp | [mohgn09s2vel] Share tax audit template | priority=3
2026-04-27T17:18:28.693Z | user | fireflies | grouped-scrap | [wt-2026-04-24-005] Add handover dates to Excel | priority=2
2026-04-27T17:18:28.694Z | user | brain | grouped-execute | [mohgo312gaij] Learn grouping: "Add handover dates to Excel" == "Add Justus+Mayuri to Merge1 meetings" | priority=1
2026-04-27T18:19:56.629Z | user | fireflies | done | [wt-2026-04-24-004] Check Merge1 Vet ID with Davis | priority=5
2026-04-27T18:37:32.270Z | user | slack | moved-to-whatsapp | [mohgn09s2vel] Share tax audit template | priority=3
2026-04-27T18:37:32.272Z | user | whatsapp | moved-from-slack | [mohjhr73ef0t] Share tax audit template | priority=3
2026-04-27T18:46:28.596Z | brain | brain | created | [mohjt910knq1] Identity Engine — reliable self-cultivation cadence | priority=2
2026-04-28T00:14:04.189Z | brain-solo | brain | done | [mohgo312gaij] Learn grouping: "Add handover dates to Excel" == "Add Justus+Mayuri to Merge1 meetings" | priority=1
2026-04-28T03:22:28.205Z | whatsapp-agent | gmail | created | [moi28tm576a9] Regenerate GitHub PAT "brain" — expires ~May 1 | priority=1
2026-04-28T03:22:32.471Z | whatsapp-agent | gmail | created | [moi28wwn0tz8] AWS unpaid invoice $10.08 — account suspension risk | priority=2
2026-04-28T04:15:32.843Z | work-triage | slack | created | [moi452waxjh9] Investigate live dash outage | priority=3
2026-04-28T04:15:36.398Z | work-triage | slack | created | [moi455n2s5yf] Run LucaNet stored procedures | priority=2
2026-04-28T04:15:40.049Z | work-triage | fireflies | created | [moi458ggze3n] Write GLC process documentation | priority=2
2026-04-28T04:15:42.792Z | work-triage | fireflies | created | [moi45akn7vka] Prep labor cost session Wednesday | priority=3
2026-04-28T04:15:45.716Z | work-triage | fireflies | created | [moi45ctwlmf9] Check Merge1 Vet ID ticket status | priority=3
